average_accuracy_vl,sd_accuracy_vl,average_tr_error_best_vl,network_topology,activation_hidden,weight_init,regularization,momentum,learning_rate
3.5722952856,0.371720902,8.7931645457,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.01}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
3.5805533162,0.7074553504,9.5990443617,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.6, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
3.5856915469,1.1575698682,7.5468208374,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.4, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
3.8323888836,1.3749133371,9.0668651179,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
3.8331682393,1.4814539389,10.4134638505,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.2, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
3.8612914436,1.6377242727,8.897045129,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
3.9185589671,1.6415425865,10.4277609413,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.2, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
3.9769429637,3.9284549653,17.7324872628,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.2, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.001}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
4.071065877,2.5142594166,14.7754379339,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.7, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
4.2505021372,1.1664632831,10.99181128,"{'layer_sizes': (38, 40, 2), 'act_hidden': 'relu', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.001, 'ALPHA': 0.2, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
